"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\mail.php", "PHP", 0, 0, -54, 0, 0, 0, -53, -19, -126
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\queue.php", "PHP", 0, 0, -51, 0, 0, 0, -42, -17, -110
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\sanctum.php", "PHP", 0, 0, -15, 0, 0, 0, -41, -12, -68
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\services.php", "PHP", 0, 0, -17, 0, 0, 0, -11, -7, -35
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\session.php", "PHP", 0, 0, -22, 0, 0, 0, -147, -33, -202
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\config\view.php", "PHP", 0, 0, -10, 0, 0, 0, -20, -7, -37
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\factories\UserFactory.php", "PHP", 0, 0, -23, 0, 0, 0, -11, -5, -39
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 0, -23, 0, 0, 0, -6, -4, -33
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 0, -23, 0, 0, 0, -6, -4, -33
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 0, -24, 0, 0, 0, -6, -4, -34
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181226_create_plans_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181300_create_unavailable_dates_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181321_create_appointments_table.php", "PHP", 0, 0, -26, 0, 0, 0, -6, -4, -36
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181331_create_clinics_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181345_create_team_members_table.php", "PHP", 0, 0, -27, 0, 0, 0, -6, -4, -37
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_21_181407_create_categories_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_24_135120_add_qulification_experience_approach_columns_to_team_members_table.php", "PHP", 0, 0, -22, 0, 0, 0, -6, -4, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_24_135530_change_description_column_type_on_team_members_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_24_164337_add_instagram_facebook_email_columns_to_team_members_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_24_170459_create_therapies_table.php", "PHP", 0, 0, -20, 0, 0, 0, -6, -4, -30
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_24_171528_create_therapy_practicing_table.php", "PHP", 0, 0, -22, 0, 0, 0, -6, -4, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_140724_add_image_column_to_therapies_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -5, -30
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_151640_add_description_column_to_therapies_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -6, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_152427_add_treatables_column_to_therapies_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_210902_create_services_table.php", "PHP", 0, 0, -20, 0, 0, 0, -6, -4, -30
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_211526_create_treatables_table.php", "PHP", 0, 0, -23, 0, 0, 0, -6, -4, -33
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_26_224046_create_service_treatables_table.php", "PHP", 0, 0, -22, 0, 0, 0, -6, -4, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_27_161233_create_service_activities_table.php", "PHP", 0, 0, -24, 0, 0, 0, -6, -4, -34
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_27_183147_add_picture_column_to_workshops_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_30_175043_create_resources_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_30_182218_add_logo_column_to_resources_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_30_210527_create_configs_table.php", "PHP", 0, 0, -18, 0, 0, 0, -6, -4, -28
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_31_130652_add_long_and_lat_columns_to_clinics_table.php", "PHP", 0, 0, -20, 0, 0, 0, -6, -4, -30
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_31_150109_add_fax_phone_email_columns_to_clinics_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_31_154629_add_columns_to_configs_table.php", "PHP", 0, 0, -22, 0, 0, 0, -6, -4, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_31_160242_create_r_d_table.php", "PHP", 0, 0, -22, 0, 0, 0, -6, -4, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_05_31_162920_add_benifits_column_to_r_d_table.php", "PHP", 0, 0, -19, 0, 0, 0, -6, -4, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_06_01_214057_create_coachings_table.php", "PHP", 0, 0, -24, 0, 0, 0, -6, -4, -34
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\migrations\2023_06_03_185811_create_admins_table.php", "PHP", 0, 0, -21, 0, 0, 0, -6, -4, -31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\database\seeders\DatabaseSeeder.php", "PHP", 0, 0, -9, 0, 0, 0, -9, -5, -23
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\package.json", "JSON", 0, 0, 0, 0, 0, -13, 0, -1, -14
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\phpunit.xml", "XML", 0, 0, 0, 0, -29, 0, -2, -1, -32
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\css\admin.css", "CSS", -309, 0, 0, 0, 0, 0, -8, -49, -366
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\css\guest.css", "CSS", -1505, 0, 0, 0, 0, 0, -30, -175, -1710
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\hww1.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\hww2.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\hww3.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\hww4.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\hww5.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\images\loginIll.svg", "XML", 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\public\index.php", "PHP", 0, 0, -14, 0, 0, 0, -30, -12, -56
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\js\app.js", "JavaScript", 0, -1, 0, 0, 0, 0, 0, -1, -2
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\js\bootstrap.js", "JavaScript", 0, -3, 0, 0, 0, 0, -23, -7, -33
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\about-us.blade.php", "PHP", 0, 0, -213, 0, 0, 0, -6, -61, -280
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\appointments.blade.php", "PHP", 0, 0, -3, 0, 0, 0, 0, -4, -7
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\dashboard.blade.php", "PHP", 0, 0, -25, 0, 0, 0, 0, -14, -39
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\admin\login.blade.php", "PHP", 0, 0, -38, 0, 0, 0, 0, -4, -42
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\appointment_request.blade.php", "PHP", 0, 0, -36, 0, 0, 0, 0, -7, -43
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\coaching.blade.php", "PHP", 0, 0, -61, 0, 0, 0, 0, -19, -80
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\coachings.blade.php", "PHP", 0, 0, -12, 0, 0, 0, 0, -7, -19
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\admin-navbar.blade.php", "PHP", 0, 0, -33, 0, 0, 0, 0, -5, -38
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\admin-sidebar.blade.php", "PHP", 0, 0, -65, 0, 0, 0, 0, -15, -80
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\banner.blade.php", "PHP", 0, 0, -8, 0, 0, 0, 0, -3, -11
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\call-to-action.blade.php", "PHP", 0, 0, -37, 0, 0, 0, 0, -4, -41
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\footer.blade.php", "PHP", 0, 0, -36, 0, 0, 0, 0, -4, -40
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\navbar.blade.php", "PHP", 0, 0, -32, 0, 0, 0, 0, -8, -40
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\slider.blade.php", "PHP", 0, 0, -49, 0, 0, 0, 0, -6, -55
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\components\stats-tab.blade.php", "PHP", 0, 0, -14, 0, 0, 0, 0, -3, -17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\contact-us.blade.php", "PHP", 0, 0, -57, 0, 0, 0, 0, -10, -67
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\index.blade.php", "PHP", 0, 0, -143, 0, 0, 0, -25, -31, -199
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\layouts\admin.blade.php", "PHP", 0, 0, -31, 0, 0, 0, 0, -3, -34
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\layouts\guest.blade.php", "PHP", 0, 0, -23, 0, 0, 0, 0, -3, -26
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\our-team.blade.php", "PHP", 0, 0, -42, 0, 0, 0, 0, -5, -47
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\resources.blade.php", "PHP", 0, 0, -16, 0, 0, 0, 0, -5, -21
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\service.blade.php", "PHP", 0, 0, -15, 0, 0, 0, 0, -7, -22
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\services.blade.php", "PHP", 0, 0, -19, 0, 0, 0, 0, -10, -29
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\team-member.blade.php", "PHP", 0, 0, -76, 0, 0, 0, 0, -8, -84
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\therapies.blade.php", "PHP", 0, 0, -13, 0, 0, 0, 0, -4, -17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\therapy.blade.php", "PHP", 0, 0, -55, 0, 0, 0, 0, -7, -62
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\treatable.blade.php", "PHP", 0, 0, -27, 0, 0, 0, 0, -6, -33
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\workshop.blade.php", "PHP", 0, 0, -59, 0, 0, 0, 0, -13, -72
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\resources\views\workshops.blade.php", "PHP", 0, 0, -15, 0, 0, 0, 0, -6, -21
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\routes\api.php", "PHP", 0, 0, -6, 0, 0, 0, -10, -4, -20
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\routes\channels.php", "PHP", 0, 0, -5, 0, 0, 0, -10, -4, -19
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\routes\console.php", "PHP", 0, 0, -6, 0, 0, 0, -10, -4, -20
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\routes\web.php", "PHP", 0, 0, -24, 0, 0, 0, -12, -8, -44
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\tests\CreatesApplication.php", "PHP", 0, 0, -13, 0, 0, 0, -3, -6, -22
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\tests\Feature\ExampleTest.php", "PHP", 0, 0, -11, 0, 0, 0, -4, -5, -20
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\tests\TestCase.php", "PHP", 0, 0, -7, 0, 0, 0, 0, -4, -11
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\tests\Unit\ExampleTest.php", "PHP", 0, 0, -10, 0, 0, 0, -3, -4, -17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", -1, 0, 0, 0, 0, 0, -2, 0, -3
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, -1, -7
