"filename", "language", "CSS", "JavaScript", "PHP", "XML", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\README.md", "Markdown", 0, 0, 0, 0, 45, 0, 0, 22, 67
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Console\Kernel.php", "PHP", 0, 0, 15, 0, 0, 0, 7, 6, 28
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Exceptions\Handler.php", "PHP", 0, 0, 17, 0, 0, 0, 9, 5, 31
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\AppointmentController.php", "PHP", 0, 0, 11, 0, 0, 0, 0, 6, 17
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\Controller.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\adminController.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Controllers\guestController.php", "PHP", 0, 0, 109, 0, 0, 0, 0, 41, 150
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Kernel.php", "PHP", 0, 0, 40, 0, 0, 0, 21, 7, 68
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 11, 0, 0, 0, 3, 4, 18
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 0, 8, 0, 0, 0, 6, 4, 18
"c:\Users\HP\Desktop\Coding\goodthinkingpsychology\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 20, 0, 0, 0, 5, 6, 31
